Qty;Value;HOUSEPART;Device;Package;Parts;Description;DIELECTRIC;;MPN;POPULATE;PROD_ID;TOLERANCE;URL;VALUE;VOLTAGE;WATTAGE
1;0.1uF;MF-CAP-0603-0.1uF;CAPACITOR_NP_0603;C0603;C11;Library:  MF_Passives;;;;1;;;;;;
3;100K;MF-RES-0603-100K;RESISTOR_0603;R0603;R5, R9, R10;Library:  MF_Passives;;;;1;;;;;;
1;100nF;MF-CAP-0603-0.1uF;CAPACITOR_NP_0603;C0603;C2;Library:  MF_Passives;;;;1;;;;;;
6;10K;MF-RES-0603-10K;RESISTOR_0603;R0603;R1, R2, R3, R4, R7, R11;Library:  MF_Passives;;;;1;;;;;;
2;10uF;MF-CAP-1206-10uF;CAPACITOR_NP_0603;C0603;C3, C5;Library:  MF_Passives;;;;1;;;;;;
2;10uF;MF-CAP-1206-10uF;CAPACITOR_NP_0805;C0805;C9, C10;Library:  MF_Passives;;;;1;;;;;;
1;10uH;?;INDUCTOR_0603;L0603;L1;Library:  MF_Passives;;;;1;;;;;;
1;1K;MF-RES-0603-1K;RESISTOR_0603;R0603;R8;Library:  MF_Passives;;;;1;;;;;;
1;1N4148;;DIODESOD-323;SOD-323;D2;Diode;;;;;;;;;;
3;1uF;MF-CAP-0603-1uF;CAPACITOR_NP_0603;C0603;C1, C6, C7;Library:  MF_Passives;;;;1;;;;;;
2;22;MF-RES-0603-22;RESISTOR_0603;R0603;R13, R14;Library:  MF_Passives;;;;1;;;;;;
2;22pF;MF-CAP-0603-22pF;CAPACITOR_NP_0603;C0603;C4, C8;Library:  MF_Passives;;;;1;;;;;;
1;27;MF-RES-0603-27;RESISTOR_0603;R0603;R12;Library:  MF_Passives;;;;1;;;;;;
1;32.768;;XTAL-3.2X1.5;XTAL3215;X1;Low cost SMT crystals, no capacitors included;;;;;;;;;;
2;330;MF-RES-0603-330;RESISTOR_0603;R0603;R6, R15;Library:  MF_Passives;;;;1;;;;;;
1;4MBUZ;;4MBUZ;BUZPKG;BUZZER;;;;;;;;;;;
1;ADXL345;ADXL345BCCZ-RL;MOTION/POSITION-ADXL345BCCZ-RL(14P-5.0X3.0MM);LGA14-0.8-5.0X3.0MM;U3;314080008;;;;;;;;ADXL345BCCZ-RL;;
1;AP2112;;VREG_SOT23-5;SOT23-5;U2;SOT23-5 Fixed Voltage Regulators;;;;;;;;;;
1;CAP1188;;CAP1188;QFN24_4MM_SMSC;U4;CAP1188 - Eight Channel Cap Touch Controller;;;;;;;;;;
1;DMG3415U-7;MF-DSC-SOT233-BSS84;MOSFET-P;SOT23-R;Q1;P-Channel Mosfet;;;;;;;;;;
1;DRV2605L;;DRV2605L;VSSOP-10;U5;;;;;;IC-13504;;;;;
1;MBR120;MBR120LSFT1G;DIODE-SCHOTTKYSOD-123;SOD-123;D1;;;;;;;;;;;
1;MDBT42Q;;NRF52832_MODULE_MDBT42;BLE_MODULE_RAYTAC_MDBT42;U1;MDBT42 - BLE Module (nRF52832 QFN);;;;;;;;;;
1;MF-DSC-SOT233-MMBT3904;MF-DSC-SOT233-MMBT3904;NPN_BJTMMBT3904_SOT-23-3;SOT-23-3;T2;Library:  MF_Discrete_Semiconductor;;;MF-DSC-SOT233-MMBT3904;1;;;https://factory.macrofab.com/part/MF-DSC-SOT233-MMBT3904;MF-DSC-SOT233-MMBT3904;;
2;MF-LED-0603-RED;MF-LED-0603-RED;LED_SINGLE-0603-RED;LED0603;BTL, STAT;Library:  MF_LEDs;;;MF-LED-0603-RED;1;;;https://factory.macrofab.com/part/MF-LED-0603-RED;MF-LED-0603-RED;;
1;MF-LED-3228-RGB;MF-LED-3228-RGB;LED_RGB_CA_PLCC4;PLCC4;D3;Library:  MF_LEDs;;;MF-LED-3228-RGB;1;;;https://factory.macrofab.com/part/MF-LED-3228-RGB;MF-LED-3228-RGB;;
1;MF-SW-TACT-4.2MM;MF-SW-TACT-4.2MM;TACT_4.2MM;TACT4.2MM;SW;Library:  MF_Switches;;;MF-SW-TACT-4.2MM;1;;;https://factory.macrofab.com/part/MF-SW-TACT-4.2MM;MF-SW-TACT-4.2MM;;